,,,,,,,,,,,,,,,,
Maintenance Log Of Machinery & Equpment,,,,,,,,,,,,,,,,
Month Of November - 2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Si No ,Machine Name ,Capacity ,Model,Serial No,Brand,Location,Condition,,,Running Hours,Last Service Date,Next Service Date ,Test Certification,,,Remarks
,,,,,,,Good,Average,Need Repair,,,,Cert. No,Validity,Applied,
1,Magnetic Excavator-1,2 Ton,SH210-5,SNT210F52L00BH2708,PT. Sumitomo ,Secondary Cutting Zone,???,???,Yes,,,,,,,
2,Magnetic Excavator-2,2 Ton,SH210-6,SNT210T6J00BH6409,PT. Sumitomo ,Secondary Cutting Zone,Yes,???,???,,,,,,,
3,Magnetic Excavator-3,2 Ton,SH210-6,SNT210T6J00BH6426,PT. Sumitomo ,Secondary Cutting Zone,Yes,???,???,,,,,,,
4,Magnetic Excavator-4,2 Ton,SH210LC- 8,Y01209689,Kobelco,Secondary Cutting Zone,Yes,???,???,,,,,,,
5,Hydraulic Crawler Crane,200 Ton,7200,JE02- 00050,Kobelco,First Cutting Zone,Yes,???,???,,,,LGS-318-25,,,
6,Hydraulic Crawler Crane,120 Ton,7120,,Kobelco,First Cutting Zone,Yes,???,???,,,,,,,
7,Pick and Carry Crane,14 Ton,14xW,Engine No: S433B17257,ACE,Secondary Cutting Zone,Yes,???,???,,,,,,,
,Bulldozer,,D6R LGP,,Caterpillar,First Cutting Zone,Yes,???,???,,,,,,,
8,Dump Truck,10 Ton,Engine No: E613CDGD0785/3 ,4-1904529,EICHER,Whole SRF,???,Yes,???,,,,,,,
9,Dump Truck,???,FS3FPD,Chassis No: 10250,Hino Motors ,Whole SRF,???,Yes,???,,,,,,,
10,Winch-1,60 Ton,H-07C,765797150,Hino Motors ,Secondary Cutting Zone,Yes,???,???,,,,,,,
11,Winch-2,60 Ton,H-07C,844Ml 17833,Hino Motors ,Secondary Cutting Zone,Yes,???,???,,,,,,,
12,Winch-3,60 Ton,H-07C,,Hino Motors ,Secondary Cutting Zone,Yes,???,???,,,,,,,
13,Lathe Machine With Drill,???,DUM 2GA-2,26574,"DAINICHI (OSAKA,JAPAN)",Workshop ,Yes,???,???,,,,,,,
14,Lathe Machine With Drill,???,QN6004,???,Nantong Tarfic Nachinary Works,Workshop ,Yes,???,???,,,,,,,
15,Bench Grinder,???,ds w 9200,4014215480,Metabo,Workshop ,Yes,???,???,,,,,,,
16,Welding Machine,"300A,220V,60%@300A",RHINO-300,IFG60974-1:2005,Black RHINO,Workshop ,Yes,???,???,,,,,,,
17,Welding Machine,"480A,380V,60%@392A",MMA 500G ,EN60974-1,RILAND,Workshop ,Yes,???,???,,,,,,,
18,Hand Drill Machine,"300W, Ï10mm",J1Z-FF-10A,???,???,Workshop ,Yes,???,???,,,,,,,
19,Hand Drill Machine,"650W, Ï13mm",8113S,???,???,Workshop ,Yes,???,???,,,,,,,
20,Impact Hammer Drill Machine ,"450W, Ï13mm",W450,???,???,Workshop ,Yes,???,???,,,,,,,
21,Hammer Drill Machine ,"9000W, Ï28-30mm",Z1A-BR-26,???,BORAY,Workshop ,Yes,???,???,,,,,,,
22,Hand Grinding Machine,"7 Inch,1800W,8000rpm",S1M-180,???,???,Workshop ,Yes,???,???,,,,,,,
23,Hand Grinding Machine,"4 Inch,750W,11000rpm",KN1058,202502110246,kANO,Workshop ,Yes,???,???,,,,,,,
24,Generator - 1,187 KVA,???,???,Cummins USA ,Third Cutting Zone,Yes,???,???,,,,,,,
25,Generator - 2,150 KVA,???,???,Man ,Third Cutting Zone,Yes,???,???,,,,,,,
26,Generator - 3,100 KVA,???,???,Duese,Third Cutting Zone,Yes,???,???,,,,,,,
27,Incinerator,3Ï440V-60HZ,OSV-30SA,???,SUNFLAME,Third Cutting Zone,Yes,???,???,,,,,,,
28,Oily Water Separator Machine ,15 PPM Bilge Separator ,,19505033,,Third Cutting Zone,Yes,???,???,,,,,,,
29,Blower Machine,???,???,???,???,Third Cutting Zone,Yes,???,???,,,,,,,
30,Air Compressor ,"7.5HP, 600 L/min, 230 L",HTA-100,J1505Y,Fusheng Co.Ltd.,Third Cutting Zone,Yes,???,???,,,,,,,
31,Water Pump (2Nos),"1 HP,5-70 L/Min, 0.75kw ",JSWm 2C,240158,Pedrollo ,Third Cutting Zone,Yes,???,???,,,,,,,
32,Water Pump,"1 HP,10-65 L/Min, 0.75kw ",TJSW-100,???,Gazi,Third Cutting Zone,Yes,???,???,,,,,,,
33,High Pressure Washer Pump,"4.0HP, 3000psi, 12.7 L/min",H3000,???,OSAKA,Third Cutting Zone,Yes,???,???,,,,,,,
34,Grass Cutter,Engine 35.8CC 4 Stroke,GX35,???,Origin China ,Third Cutting Zone,???,Yes,???,,,,,,,
35,Rescue Boat,CC: 25 HP,E25BWI,1091858,Yamaha ,Primary Cutting Zone,Yes,???,???,,,,,,,
36,Cutting Torch and Flashback Arrestor (07Nos),,,,,Primary Cutting Zone ,,,,,,,,,,
37,Cutting Torch and Flashback Arrestor (20 Nos),,,,,Secondary Cutting Zone,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
