Si No,Machine Name,Capacity,Model,Serial No,Brand,Location,Running Hours,Test Cert. No,Test Cert. Validity,Test Cert. Applied
1,Magnetic Excavator-1,2 Ton,SH210-5,SNT210F52L00BH2708,PT. Sumitomo ,Secondary Cutting Zone,,,,
2,Magnetic Excavator-2,2 Ton,SH210-6,SNT210T6J00BH6409,PT. Sumitomo ,Secondary Cutting Zone,,,,
3,Magnetic Excavator-3,2 Ton,SH210-6,SNT210T6J00BH6426,PT. Sumitomo ,Secondary Cutting Zone,,,,
4,Magnetic Excavator-4,2 Ton,SH210LC- 8,Y01209689,Kobelco,Secondary Cutting Zone,,,,
5,Magnetic Excavator-5,2 Ton,,,PT. Sumitomo ,ABS,,,,
6,Magnetic Excavator-6,2 Ton,───,,Kobelco,ABS,,,,
5,Hydraulic Crawler Crane,200 Ton,7200,JE02- 00050,Kobelco,First Cutting Zone,,LGS-318-25,,
6,Hydraulic Crawler Crane,120 Ton,7120,,Kobelco,First Cutting Zone,,,,
7,Pick and Carry Crane,14 Ton,14xW,Engine No: S433B17257,ACE,Secondary Cutting Zone,,,,
,Bulldozer,,D6R LGP,,Caterpillar,First Cutting Zone,,,,
8,Dump Truck,10 Ton,Engine No: E613CDGD0785/3 ,4-1904529,EICHER,Whole SRF,,,,
9,Dump Truck,───,FS3FPD,Chassis No: 10250,Hino Motors ,Whole SRF,,,,
10,Winch-1,60 Ton,H-07C,765797150,Hino Motors ,Secondary Cutting Zone,,,,
11,Winch-2,60 Ton,H-07C,844Ml 17833,Hino Motors ,Secondary Cutting Zone,,,,
12,Winch-3,60 Ton,H-07C,,Hino Motors ,Secondary Cutting Zone,,,,
13,Lathe Machine With Drill,───,DUM 2GA-2,26574,"DAINICHI (OSAKA,JAPAN)",Workshop ,,,,
14,Lathe Machine With Drill,───,QN6004,───,Nantong Tarfic Nachinary Works,Workshop ,,,,
15,Bench Grinder,───,ds w 9200,4014215480,Metabo,Workshop ,,,,
16,Welding Machine,"300A,220V,60%@300A",RHINO-300,IFG60974-1:2005,Black RHINO,Workshop ,,,,
17,Welding Machine,"480A,380V,60%@392A",MMA 500G ,EN60974-1,RILAND,Workshop ,,,,
18,Hand Drill Machine,"300W, Ø10mm",J1Z-FF-10A,───,───,Workshop ,,,,
19,Hand Drill Machine,"650W, Ø13mm",8113S,───,───,Workshop ,,,,
20,Impact Hammer Drill Machine ,"450W, Ø13mm",W450,───,───,Workshop ,,,,
21,Hammer Drill Machine ,"9000W, Ø28-30mm",Z1A-BR-26,───,BORAY,Workshop ,,,,
22,Hand Grinding Machine,"7 Inch,1800W,8000rpm",S1M-180,───,───,Workshop ,,,,
23,Hand Grinding Machine,"4 Inch,750W,11000rpm",KN1058,202502110246,kANO,Workshop ,,,,
24,Generator - 1,187 KVA,───,───,Cummins USA ,Third Cutting Zone,,,,
25,Generator - 2,150 KVA,───,───,Man ,Third Cutting Zone,,,,
26,Generator - 3,100 KVA,───,───,Duese,Third Cutting Zone,,,,
27,Incinerator,3Ø440V-60HZ,OSV-30SA,───,SUNFLAME,Third Cutting Zone,,,,
28,Oily Water Separator Machine ,15 PPM Bilge Separator ,,19505033,,Third Cutting Zone,,,,
29,Blower Machine,───,───,───,───,Third Cutting Zone,,,,
30,Air Compressor ,"7.5HP, 600 L/min, 230 L",HTA-100,J1505Y,Fusheng Co.Ltd.,Third Cutting Zone,,,,
31,Water Pump (2Nos),"1 HP,5-70 L/Min, 0.75kw ",JSWm 2C,240158,Pedrollo ,Third Cutting Zone,,,,
32,Water Pump,"1 HP,10-65 L/Min, 0.75kw ",TJSW-100,───,Gazi,Third Cutting Zone,,,,
33,High Pressure Washer Pump,"4.0HP, 3000psi, 12.7 L/min",H3000,───,OSAKA,Third Cutting Zone,,,,
34,Grass Cutter,Engine 35.8CC 4 Stroke,GX35,───,Origin China ,Third Cutting Zone,,,,
35,Rescue Boat,CC: 25 HP,E25BWI,1091858,Yamaha ,Primary Cutting Zone,,,,
36,Cutting Torch and Flashback Arrestor (07Nos),,,,,Primary Cutting Zone ,,,,
37,Cutting Torch and Flashback Arrestor (20 Nos),,,,,Secondary Cutting Zone,,,,